ACCID;ACCUSERNAME;ACCPASSWORD;DATEOPEN;TOTALMONEY;DVT;CUSID;BranchID
A00000001;3671716840;Emma1990@510O0C46PC;2018-07-11;418489052;VND;C00000001;BR0000049
A00000002;2124237734;Noah1965@HMP5L5QKV6;2018-05-27;60192811;VND;C00000002;BR0000021
A00000003;9515678925;Liam1976@ZYG0STD27M;2020-03-26;362502375;VND;C00000004;BR0000006
A00000004;8136295038;Mason1939@5HS60RBLHS;2019-02-16;196470616;VND;C00000006;BR0000028
A00000005;8368458120;Jacob1949@X177ISHR8U;2018-01-15;844743909;VND;C00000007;BR0000050
A00000006;4134449280;Ava1958@NHILNDZ6I4;2018-04-26;731755298;VND;C00000008;BR0000019
A00000007;7819956192;William1955@BTG1GPFEGC;2021-07-07;315642043;VND;C00000009;BR0000019
A00000008;5089025510;Ethan1963@NJA5B0JTS6;2018-05-10;429693902;VND;C00000010;BR0000019
A00000009;4318693807;James2001@1Y0H7188MZ;2018-06-01;863205021;VND;C00000012;BR0000038
A00000010;8401686970;Mia1994@TLJS94MBV4;2019-09-20;4055050;VND;C00000013;BR0000001
A00000011;9140180811;Abigail1962@J2DJ7LUWLJ;2021-07-13;428927742;VND;C00000014;BR0000021
A00000012;5564157930;Emily1938@6FR0FULO6L;2018-05-17;513418466;VND;C00000015;BR0000045
A00000013;9142381020;Michael1954@JGJORUIIMM;2021-05-29;469442087;VND;C00000017;BR0000021
A00000014;9272966436;Benjamin1962@73RO7QXZTL;2020-04-21;123060681;VND;C00000019;BR0000046
A00000015;8861763524;Elijah1999@V809BIDE12;2021-07-28;419407017;VND;C00000020;BR0000029
A00000016;8943841832;Harper1972@P0V4EWFGUL;2020-05-28;648953985;VND;C00000021;BR0000028
A00000017;2120938170;Madison1989@DCVYJDOE61;2019-04-03;31344933;VND;C00000022;BR0000021
A00000018;3026814855;Amelia1959@CGJRYLHNJR;2018-03-04;295312397;VND;C00000024;BR0000005
A00000019;1842769486;Elizabeth1959@64HZPBI0P8;2019-06-16;464695680;VND;C00000025;BR0000045
A00000020;6603907055;Sofia1989@IFP8DNC1N4;2020-11-11;780496548;VND;C00000026;BR0000007
A00000021;4077456584;Evelyn1986@BBTBINU3SD;2020-05-29;666953366;VND;C00000027;BR0000001
A00000022;2127516276;Aiden1965@M153AB9Q33;2018-06-28;945414887;VND;C00000028;BR0000021
A00000023;9966917268;Avery1971@QE8RZP1SAJ;2019-12-17;440904006;VND;C00000029;BR0000039
A00000024;2559655392;Chloe1977@6FB8Z6A3Q3;2021-02-19;731392859;VND;C00000030;BR0000007
A00000025;4529352140;Logan1982@P50A03EO8S;2018-02-02;122211966;VND;C00000031;BR0000017
A00000026;2147285200;Matthew2000@H5I4EIDDC1;2020-02-16;918571673;VND;C00000032;BR0000024
A00000027;7697803102;Ella1968@5NS2USSILL;2021-05-21;678261187;VND;C00000033;BR0000024
A00000029;5308565348;Grace1998@5NNE0ZOT63;2018-02-10;579265652;VND;C00000036;BR0000010
A00000030;9769659681;Victoria1993@KVC7HZ455I;2020-02-21;778235111;VND;C00000038;BR0000017
A00000031;9188469875;Jackson1988@SFDLPDROY1;2021-02-01;117871835;VND;C00000039;BR0000017
A00000032;7764641839;Aubrey1977@YFRXOTE3KS;2021-07-05;118167100;VND;C00000040;BR0000006
A00000033;2323531692;David1988@Q14W26KGJH;2019-04-28;382303338;VND;C00000041;BR0000013
A00000034;3344070626;Oliver1955@Q3HBC3I247;2020-06-03;399217618;VND;C00000042;BR0000017
A00000035;5852096726;Jayden1940@ZIPLHT76HY;2018-10-30;286160073;VND;C00000043;BR0000021
A00000036;1844185826;Scarlett1997@65WVFB4EWM;2021-09-16;960599564;VND;C00000044;BR0000024
A00000037;7869244329;Joseph1972@9KHPFOKFQ7;2021-07-25;331942664;VND;C00000045;BR0000026
A00000038;1295670397;Zoey1960@IZTFHQVDSE;2019-03-06;584958225;VND;C00000046;BR0000040
A00000039;9144061227;Gabriel1954@SLG5GPUG1U;2020-01-10;365646918;VND;C00000047;BR0000021
A00000040;6279644534;Samuel1960@LEFVOLSU9O;2019-04-19;291958083;VND;C00000048;BR0000009
A00000041;4921034485;Addison1979@20UV2BENFA;2021-04-09;277042363;VND;C00000049;BR0000003
A00000042;8743047236;Lily1998@5HU71KCHPR;2019-05-02;621956530;VND;C00000050;BR0000016
A00000043;1937541578;Lillian1999@3XOL8HQ78Z;2019-02-08;568276596;VND;C00000051;BR0000017
A00000044;5942678218;Carter1944@48BKZWYK50;2020-10-25;102658099;VND;C00000052;BR0000037
A00000045;1234123909;Anthony1997@UQRCADVY4C;2020-11-14;280351414;VND;C00000053;BR0000041
A00000047;3528885607;Natalie1968@XTXQOOX07R;2020-06-12;956913242;VND;C00000055;BR0000047
A00000048;9433064745;John1980@JISKQYK6SK;2020-03-12;458753951;VND;C00000056;BR0000045
A00000049;2126210332;Aria1947@1QCTADIJD2;2018-01-06;911458698;VND;C00000058;BR0000021
A00000050;2126164139;Dylan1977@TGSWV6J83E;2021-02-23;354673839;VND;C00000059;BR0000021
A00000051;6943912679;Luke2000@9K48RSQMMZ;2019-09-14;819655239;VND;C00000060;BR0000024
A00000052;4528152646;Layla1968@13OPA28OE4;2019-08-27;974248147;VND;C00000061;BR0000009
A00000053;3157750721;Henry1952@DTGYQB8L99;2018-07-27;474722060;VND;C00000062;BR0000021
A00000054;8538133217;Andrew1979@SD4HR6WAK5;2020-03-17;930604180;VND;C00000063;BR0000044
A00000055;7500897210;Isaac1946@IKOP3FL09C;2020-06-10;517510322;VND;C00000064;BR0000026
A00000056;7161024229;Brooklyn1963@V8COPDN701;2021-07-15;450217172;VND;C00000065;BR0000021
A00000057;2128756847;Alexa1971@H6SWHX6TH2;2018-04-13;87129670;VND;C00000066;BR0000021
A00000058;2543597450;Zoe1952@C66FTSWFN5;2018-08-26;225672513;VND;C00000067;BR0000027
A00000059;7981037589;Christopher1966@YX43YTQSA8;2021-03-25;770847740;VND;C00000068;BR0000005
A00000061;9565190084;Joshua1945@16F8PTNEO4;2020-12-11;435233868;VND;C00000070;BR0000029
A00000062;5426432130;Wyatt1943@VUE7RQT5F8;2019-11-08;994835279;VND;C00000072;BR0000046
A00000063;9161238829;Sebastian1944@9DOTCV2D0J;2019-07-24;424215475;VND;C00000073;BR0000013
A00000064;6170302759;Leah1997@5897A8XESY;2021-07-04;866901046;VND;C00000075;BR0000041
A00000065;2935457588;Audrey1987@48PITRKP91;2018-02-22;594783095;VND;C00000076;BR0000017
A00000066;2129963299;Savannah1976@UTKS5RF7AZ;2019-07-12;998958554;VND;C00000077;BR0000021
A00000067;2065344919;Allison1964@KBPPWM7D4O;2020-06-09;599292298;VND;C00000078;BR0000009
A00000068;1928988157;Samantha1989@9QH0LAJJOA;2019-02-10;344766385;VND;C00000079;BR0000042
A00000069;9140111365;Nora1999@SCT74RBUEL;2020-09-13;693743967;VND;C00000080;BR0000041
A00000070;4277712986;Owen1996@TZRF1RUXRC;2019-06-10;352181213;VND;C00000081;BR0000011
A00000071;2120314727;Camila1998@EM4QYOXFRC;2021-11-12;155893635;VND;C00000083;BR0000021
A00000072;2126016414;Nathan1981@UTOHDKR3IJ;2018-06-29;909146017;VND;C00000085;BR0000021
A00000073;1124223285;Paisley1966@WKG27YKNCB;2021-10-08;307104093;VND;C00000087;BR0000003
A00000075;2123200620;Ariana1971@WFDZAFYX0J;2020-08-10;230009462;VND;C00000089;BR0000021
A00000076;9170176595;Ryan1995@K4KGF3ZPOW;2019-08-03;28377258;VND;C00000090;BR0000024
A00000077;8313796638;Jack1960@2WRV3SHGMI;2020-07-07;190194881;VND;C00000091;BR0000024
A00000078;4855059594;Ellie1986@98UHUFSGMO;2018-01-13;868207669;VND;C00000092;BR0000007
A00000079;3883896102;Hunter1945@1AWYTBSJ2D;2019-04-23;436923514;VND;C00000093;BR0000022
A00000080;9331010725;Levi1967@W6QWYZ3URU;2019-10-20;659165070;VND;C00000094;BR0000005
A00000081;7087733715;Christian1992@35E5RYKIE8;2021-10-12;592591654;VND;C00000096;BR0000007
A00000082;3482502252;Jaxon1985@DUDGU10XH5;2019-07-18;928984545;VND;C00000097;BR0000048
A00000083;1943098767;Claire1993@YOVKVSCKZU;2019-04-27;490669692;VND;C00000098;BR0000051
A00000084;9120672706;Violet1962@E2ODMD9Y2Y;2019-07-03;963607029;VND;C00000100;BR0000014
A00000085;2942525352;Landon1963@XOCJEI5V65;2021-05-16;691937676;VND;C00000101;BR0000017
A00000086;1819881584;Stella1978@EIFHI96G3P;2018-10-21;137717957;VND;C00000102;BR0000007
A00000088;2555851034;Jonathan2000@YAIBDLE0FD;2018-07-11;103901148;VND;C00000105;BR0000035
A00000089;7357843483;Sadie1988@O1SLC99BCA;2019-06-08;280977818;VND;C00000106;BR0000017
A00000090;2127953118;Isaiah1992@MVGKE0QQ6D;2020-03-12;896538900;VND;C00000107;BR0000021
A00000091;5050263653;Charles1983@ZHRNJ972KL;2020-03-19;394727137;VND;C00000108;BR0000004
A00000093;6340130057;Mila1987@JJEBZGI7PW;2019-12-31;244417255;VND;C00000110;BR0000033
A00000095;2121215550;Thomas1955@TGIQXJZO6I;2018-01-03;27259115;VND;C00000112;BR0000021
A00000096;6242323244;Lucy1989@2MKTBDETED;2019-09-22;517273963;VND;C00000114;BR0000007
A00000097;7787619826;Eli1962@CRQJFQXFPY;2019-11-21;955463482;VND;C00000116;BR0000007
A00000098;9782091646;Connor1942@QN1D6LX5XL;2021-01-05;587824863;VND;C00000118;BR0000019
A00000099;2127127618;Jeremiah1996@A5X4P63YDD;2019-11-17;785372399;VND;C00000120;BR0000021
A00000100;9582815227;Sarah1998@IJPWE3TN2A;2020-04-19;764752754;VND;C00000121;BR0000008
A00000101;8864320564;Madelyn1983@RL0ZRETQ3A;2018-11-03;986450954;VND;C00000122;BR0000023
A00000102;6797385511;Cameron1989@RPW43LLUPQ;2019-04-12;912406464;VND;C00000123;BR0000043
A00000103;7746470604;Josiah1987@XVF0SRIA3L;2020-04-20;438014452;VND;C00000124;BR0000014
A00000104;4318926138;Adrian1956@SKVX7C0M1W;2021-11-04;369509883;VND;C00000125;BR0000042
A00000105;2311921790;Kaylee1970@ADKZQPEJLP;2018-04-19;635914151;VND;C00000127;BR0000045
A00000106;8497816183;Caroline1993@2FDJSMH1QX;2018-04-24;286919718;VND;C00000128;BR0000024
A00000107;5174524831;Hazel1967@6FEQHLXBKZ;2019-01-16;616036671;VND;C00000129;BR0000041
A00000108;2497093187;Colton1962@SN9DFJ9474;2018-02-06;504033898;VND;C00000130;BR0000024
A00000109;7197661799;Hailey1997@G3JYYVQYBP;2021-03-10;888962382;VND;C00000131;BR0000024
A00000110;1332741580;Jordan1973@TZZVZJKL2C;2019-04-25;354467323;VND;C00000132;BR0000017
A00000112;3965560077;Brayden1952@IRCGMZ6EQ5;2020-10-26;403153615;VND;C00000134;BR0000018
A00000113;9787226846;Kylie1941@CITL7KCWEA;2020-09-21;105533738;VND;C00000136;BR0000019
A00000114;7811122258;Nicholas1943@3H8X9VRYVT;2019-10-04;503761050;VND;C00000137;BR0000019
A00000115;8230521885;Autumn1992@V19OMZX95I;2018-06-23;477670744;VND;C00000138;BR0000001
A00000116;2977751627;Piper1979@HQSWD0CCTS;2020-01-17;54509400;VND;C00000139;BR0000011
A00000117;6607384405;Angel1945@JYNW4I9UXA;2020-07-24;131448518;VND;C00000141;BR0000035
A00000118;5454688110;Hudson1957@9TL1E0CIQY;2020-11-11;918562344;VND;C00000142;BR0000017
A00000119;2067972227;Lincoln1998@I8HNQGT8Y9;2020-01-14;7821391;VND;C00000143;BR0000001
A00000120;6174183449;Evan1978@CMSP5RE54U;2019-03-25;171699017;VND;C00000144;BR0000019
A00000121;9789506914;Dominic1998@VDWHJS4HPT;2019-10-01;743164816;VND;C00000145;BR0000019
A00000122;9176782836;Maya1981@64JKYW11BT;2019-01-05;996200201;VND;C00000146;BR0000035
A00000123;2271305461;Nevaeh1953@GSHN6UWMBX;2021-03-03;592983453;VND;C00000147;BR0000045
A00000124;9787366534;Gavin1968@F4QRG37GOB;2019-12-14;787967458;VND;C00000149;BR0000019
A00000125;4322357809;Serenity2000@3ND0KA3Z6S;2020-08-30;425397901;VND;C00000150;BR0000033
A00000126;4138511619;Peyton1991@W51N0B2OBF;2021-12-15;876472432;VND;C00000151;BR0000019
A00000127;8881952257;Mackenzie1965@FDW2GYZDXF;2020-12-20;667283259;VND;C00000152;BR0000027
A00000128;7022301685;Bella2001@VGET55UREH;2021-07-31;234700816;VND;C00000153;BR0000032
A00000129;8334978240;Nolan1953@6MUJM6JPAK;2021-05-01;790942040;VND;C00000154;BR0000007
A00000130;7118890733;Taylor1950@VSKFVDU5XL;2019-11-14;670836596;VND;C00000156;BR0000001
A00000131;7885983153;Naomi1963@QFBTO94FFB;2019-03-05;592997204;VND;C00000157;BR0000024
A00000132;4531252846;Aubree1965@53X629LJNZ;2021-04-07;829691480;VND;C00000158;BR0000038
A00000133;7087755257;Aurora1962@5LU5ODP80M;2019-01-28;505779449;VND;C00000160;BR0000041
A00000134;4887331885;Melanie1963@284XEJA7XE;2020-02-15;645515417;VND;C00000161;BR0000034
A00000135;6177712656;Adam1961@YTXKRBV4MP;2021-06-06;138150919;VND;C00000162;BR0000019
A00000136;1907028786;Chase1953@B24OHQHII3;2020-06-09;126364695;VND;C00000163;BR0000007
A00000137;7860371071;Lydia1982@WWIQO568UQ;2021-04-07;335971821;VND;C00000164;BR0000029
A00000138;4518768255;Jace1988@87RC44O7C3;2021-08-18;407327914;VND;C00000165;BR0000013
A00000139;5185203878;Ruby1998@I0Y7TU2B8M;2021-11-26;229598302;VND;C00000167;BR0000024
A00000140;8914709210;Katherine1996@ALQKRHG68T;2021-05-06;960935805;VND;C00000168;BR0000025
A00000141;4412220909;Ian1973@Y3OACLUAR7;2021-08-30;832251589;VND;C00000169;BR0000024
A00000142;4134782565;Cooper1949@FC5K6965I8;2020-10-13;433296696;VND;C00000171;BR0000019
A00000143;6261675233;Alice1938@VK7QV6C942;2020-12-05;91136877;VND;C00000173;BR0000045
A00000144;9247617943;Easton1998@TFF54J8LWD;2019-12-16;304278041;VND;C00000174;BR0000012
A00000145;4334656931;Kevin1980@NXYABEEHZQ;2019-12-29;160828794;VND;C00000175;BR0000035
A00000146;7563639393;Jose1949@OQ1W7BBKQH;2018-04-21;720478657;VND;C00000176;BR0000044
A00000148;3881290151;Tyler1980@G5AA1D3FO8;2019-08-07;109386326;VND;C00000178;BR0000011
A00000149;8221215569;Brandon2000@HWHYSGXKGA;2019-08-10;275989827;VND;C00000179;BR0000005
A00000150;3133465449;Asher2002@84CP21I9MT;2021-09-18;832886558;VND;C00000180;BR0000024
A00000151;9144496685;Jaxson1987@VYKFPEU4A6;2020-10-20;602843019;VND;C00000181;BR0000021
A00000152;2121320634;Julia1998@893YC8YKS6;2020-06-12;905705472;VND;C00000183;BR0000021
A00000153;3150697061;Jason1974@86Y7FCE7KR;2018-08-22;489548417;VND;C00000185;BR0000021
A00000154;9185004113;Madeline1981@5YIBLGHF4H;2019-10-01;746210244;VND;C00000186;BR0000029
A00000155;5083551545;Ayden1962@XD68CMBV4U;2020-08-18;269703816;VND;C00000187;BR0000019
A00000156;3626780939;Zachary1980@O68IU4NLUI;2018-10-04;496686885;VND;C00000188;BR0000041
A00000157;8393215466;Carson1939@LTVQ6T4HMG;2018-05-21;513609990;VND;C00000189;BR0000043
A00000158;3275659871;Faith1967@A4MVK93BI2;2019-04-08;645032315;VND;C00000190;BR0000042
A00000159;2800534123;Leo1991@YL4UA7GNEU;2021-09-04;657153175;VND;C00000192;BR0000029
A00000160;2124791897;Ezra1982@AXKTP3RWI4;2021-07-12;208394288;VND;C00000193;BR0000021
A00000161;8884708725;Annabelle1944@QKG22OG0Z0;2021-10-01;778516773;VND;C00000194;BR0000015
A00000162;9554344507;Bentley1939@SC31AYOCBS;2019-08-08;79736837;VND;C00000195;BR0000007
A00000163;3193136181;Sawyer1953@ZBMY6QXW2Y;2019-03-10;309874500;VND;C00000197;BR0000039
A00000164;7813700647;Kayden1996@31HC3V3BCQ;2020-01-08;780065978;VND;C00000198;BR0000019
A00000165;8247777537;Blake1943@MZX814V4JS;2020-08-15;34414587;VND;C00000199;BR0000027
A00000166;3848773046;Vivian1950@A0XNSOMQ7X;2021-12-16;165204266;VND;C00000201;BR0000004
A00000167;4284246869;Gianna1996@2X1D1GSOAO;2018-12-09;162183488;VND;C00000202;BR0000027
A00000168;7548639022;Nathaniel1982@J8OPAFED01;2018-12-14;484343345;VND;C00000203;BR0000035
A00000169;2899627503;Clara1962@1K8V0AD9OR;2018-12-27;472638089;VND;C00000205;BR0000044
A00000170;6170682284;Reagan1983@II5RRDNKZI;2018-10-26;505551412;VND;C00000206;BR0000019
A00000171;5700420977;Ryder1952@TX1D7HRZ24;2019-04-21;272009445;VND;C00000207;BR0000029
A00000172;4180315599;Khloe1960@UIENCXENVU;2020-08-05;855871068;VND;C00000208;BR0000032
A00000173;5516968238;Elias1959@F6CNR15VHH;2021-07-16;159925950;VND;C00000210;BR0000017
A00000174;1952252296;Tristan1995@08FDH54NHQ;2021-10-21;101542695;VND;C00000212;BR0000024
A00000176;6176180272;Roman1987@0MVTSHPD3A;2019-06-18;961981033;VND;C00000215;BR0000019
A00000177;2121080152;Leonardo1980@TCN6XY4E82;2018-07-21;778168809;VND;C00000216;BR0000021
A00000178;6177134706;Hadley1994@3JFAFF0UA6;2019-12-17;449683821;VND;C00000217;BR0000019
A00000179;2128447393;Eliana2000@ULQ43DSAJ0;2019-01-10;605322521;VND;C00000218;BR0000021
A00000180;7815258683;Sophie1984@WFERZNETDD;2019-01-27;592605313;VND;C00000219;BR0000019
A00000181;2946894641;London1997@DALHPU0LT2;2020-05-05;965208634;VND;C00000221;BR0000045
A00000182;7886603215;Elena1992@N2ZPLMNS70;2020-09-12;545328884;VND;C00000222;BR0000046
A00000183;7642334225;Kimberly1972@3FS5GLM5AJ;2019-07-02;980070241;VND;C00000223;BR0000005
A00000184;3155173965;Camden1975@R8V70IZNLF;2018-03-12;14937092;VND;C00000224;BR0000021
A00000185;8392900793;Brody1956@D7FGHJNJBM;2019-01-15;653908767;VND;C00000225;BR0000037
A00000186;2120663422;Luis1962@32B2MI4NEZ;2020-03-22;889211519;VND;C00000226;BR0000021
A00000187;3363424327;Bailey1946@FNAE17789V;2018-07-28;915763366;VND;C00000227;BR0000024
A00000188;5083024173;Maria1976@C6BUYTOWPX;2020-12-09;733997458;VND;C00000228;BR0000019
A00000189;9142675754;Miles1989@U1OEYIFVBI;2020-02-09;775451043;VND;C00000229;BR0000021
