CUSID;CUSNAME;SEX;DATEOFBIRTH;SOCIALID;EMAIL;ADDRESS
C00000001;Emma Avaya Smith;Female;1942-11-05;926-93-2157;emma.smith@gmail.com;387 Wellington Ave. NM
C00000002;Noah Everest Thompson;Male;1998-12-06;806-94-5725;noah.thompson@gmail.com;75 W. Berkshire St. NY
C00000003;Olivia Brooklynne Johnson;Female;1972-04-13;614-70-9100;olivia.johnson@outlook.com;36 Second St. NY
C00000004;Liam Irvin White;Male;1956-06-21;580-20-3414;liam.white@gmail.com;7607 Sunnyslope Street IN
C00000005;Sophia Danae Williams;Female;1970-12-17;536-14-5809;sophia.williams@gmail.com;755 Galvin Street IN
C00000006;Mason Javen Lopez;Male;1997-08-09;430-17-5825;mason.lopez7@gmail.com;8266 Arnold Drive OR
C00000007;Jacob Khai Lee;Male;1964-05-15;305-80-4254;jacob.lee7@gmail.com;827 N. Green Lake Court KY
C00000008;Ava Eliora Brown;Female;1961-09-13;425-96-6358;ava.brown8@gmail.com;817 Joy Ridge Dr. MA
C00000009;William Marek Gonzalez;Male;1954-10-20;832-31-7252;william.marek.gonzalez@gmail.com;68 Carriage Road MA
C00000010;Ethan Veer Harris;Male;1971-10-07;295-22-6122;ethan.harris9@gmail.com;754 Grandrose St. MA
C00000011;Isabella Haidyn Jones;Female;1994-01-24;666-36-2990;isabella.jones@hotmail.com;873 Randall Mill Dr. MA
C00000012;James Amauri Clark;Male;1984-12-13;771-44-3992;james.clark9@gmail.com;275 Fairground Drive ND
C00000013;Mia Hawa Miller;Female;1953-10-05;618-33-8801;mia.miller@gmail.com;7429 Linden Drive TX
C00000014;Abigail Inaaya Davis;Female;1974-01-02;806-78-2944;abigail.davis5@gmail.com;708 Oak Valley St. NY
C00000015;Emily Joann Garcia;Female;1981-06-22;711-78-2371;emily.garcia43@outlook.com;30 Brown St. NE
C00000016;Alexander Bronx Lewis;Male;1959-12-25;923-11-6562;alexander.lewis3@gmail.com;734 Bay Meadows Street NE
C00000017;Michael Clifton Robinson;Male;1979-12-15;800-28-6783;michael.robinson2@gmail.com;907 Green Lake Court NY
